City,Ward,Quarter,Avg_Temperature
Ahmedabad,23 THAKKARBAPANAGAR,2011_Qrt1,295.6786194
Ahmedabad,23 THAKKARBAPANAGAR,2011_Qrt2,306.9395752
Ahmedabad,23 THAKKARBAPANAGAR,2011_Qrt3,301.5005493
Ahmedabad,23 THAKKARBAPANAGAR,2011_Qrt4,298.0796204
Ahmedabad,23 THAKKARBAPANAGAR,2012_Qrt1,294.3881836
Ahmedabad,23 THAKKARBAPANAGAR,2012_Qrt2,306.9692383
Ahmedabad,23 THAKKARBAPANAGAR,2012_Qrt3,302.7627869
Ahmedabad,23 THAKKARBAPANAGAR,2012_Qrt4,298.2141418
Ahmedabad,23 THAKKARBAPANAGAR,2013_Qrt1,295.8288879
Ahmedabad,23 THAKKARBAPANAGAR,2013_Qrt2,307.010437
Ahmedabad,23 THAKKARBAPANAGAR,2013_Qrt3,302.9168396
Ahmedabad,23 THAKKARBAPANAGAR,2013_Qrt4,297.9972839
Ahmedabad,23 THAKKARBAPANAGAR,2014_Qrt1,295.5947266
Ahmedabad,23 THAKKARBAPANAGAR,2014_Qrt2,306.9115601
Ahmedabad,23 THAKKARBAPANAGAR,2014_Qrt3,302.702179
Ahmedabad,23 THAKKARBAPANAGAR,2014_Qrt4,298.2296143
Ahmedabad,23 THAKKARBAPANAGAR,2015_Qrt1,296.5313721
Ahmedabad,23 THAKKARBAPANAGAR,2015_Qrt2,306.8139954
Ahmedabad,23 THAKKARBAPANAGAR,2015_Qrt3,301.1499939
Ahmedabad,23 THAKKARBAPANAGAR,2015_Qrt4,297.2733459
Ahmedabad,23 THAKKARBAPANAGAR,2016_Qrt1,296.5793762
Ahmedabad,23 THAKKARBAPANAGAR,2016_Qrt2,305.7733459
Ahmedabad,23 THAKKARBAPANAGAR,2016_Qrt3,301.6950989
Ahmedabad,23 THAKKARBAPANAGAR,2016_Qrt4,299.5108948
Ahmedabad,23 THAKKARBAPANAGAR,2017_Qrt1,2.96E+02
Ahmedabad,23 THAKKARBAPANAGAR,2017_Qrt2,1.10E+35
Ahmedabad,23 THAKKARBAPANAGAR,2017_Qrt3,301.8991699
Ahmedabad,23 THAKKARBAPANAGAR,2017_Qrt4,299.0215454
Ahmedabad,23 THAKKARBAPANAGAR,2018_Qrt1,298.8327637
Ahmedabad,23 THAKKARBAPANAGAR,2018_Qrt2,306.7859802
Ahmedabad,23 THAKKARBAPANAGAR,2018_Qrt3,302.3450928
Ahmedabad,23 THAKKARBAPANAGAR,2018_Qrt4,299.1611328
Ahmedabad,23 THAKKARBAPANAGAR,2019_Qrt1,295.8471985
Ahmedabad,23 THAKKARBAPANAGAR,2019_Qrt2,306.9873657
Ahmedabad,23 THAKKARBAPANAGAR,2019_Qrt3,302.858429
Ahmedabad,23 THAKKARBAPANAGAR,2019_Qrt4,298.2274475
Ahmedabad,23 THAKKARBAPANAGAR,2020_Qrt1,295.4802246
Ahmedabad,23 THAKKARBAPANAGAR,2020_Qrt2,307.9145508
Ahmedabad,23 THAKKARBAPANAGAR,2020_Qrt3,303.6043396
Ahmedabad,23 THAKKARBAPANAGAR,2020_Qrt4,305.1236877
Ahmedabad,22 INDIA COLONY,2011_Qrt1,295.6786194
Ahmedabad,22 INDIA COLONY,2011_Qrt2,306.9395752
Ahmedabad,22 INDIA COLONY,2011_Qrt3,301.5005493
Ahmedabad,22 INDIA COLONY,2011_Qrt4,298.0796204
Ahmedabad,22 INDIA COLONY,2012_Qrt1,294.3881836
Ahmedabad,22 INDIA COLONY,2012_Qrt2,306.9692383
